mbti,role,movie,img_url
ESFP,"Peter Quill ""Star-Lord""",   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/800.png?=undefined
ESFP,Anakin Skywalker,   Star Wars,https://www.personality-database.com/profile_images/57.png?=undefined
ESFP,Ron Weasley,   Harry Potter (franchise),https://www.personality-database.com/profile_images/709.png?=undefined
ESFP,Bellatrix Lestrange,   Harry Potter (franchise),https://www.personality-database.com/profile_images/4045.png?=undefined
ESFP,Simba,   The Lion King (1994),https://www.personality-database.com/profile_images/868.png?=undefined
ESFP,Donkey,   Shrek (Franchise),https://www.personality-database.com/profile_images/1936.png?=undefined
ESFP,"Bob Parr ""Mr. Incredible""",   The Incredibles (Franchise),https://www.personality-database.com/profile_images/6583.png?=undefined
ESFP,Jack Dawson,   Titanic (1997),https://www.personality-database.com/profile_images/2835.png?=undefined
ESFP,Aladdin,   Aladdin (1992),https://www.personality-database.com/profile_images/611.png?=undefined
ESFP,Marty McFly,   Back to the Future (franchise),https://www.personality-database.com/profile_images/1355.png?=undefined
ESFP,Jasmine,   Aladdin (1992),https://www.personality-database.com/profile_images/2928.png?=undefined
ESFP,Marla Singer,   Fight Club (1999),https://www.personality-database.com/profile_images/6820.png?=undefined
ESFP,Erik Killmonger,   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/9912.png?=undefined
ESFP,Elizabeth Swann,   Pirates of the Caribbean,https://www.personality-database.com/profile_images/605.png?=undefined
ESFP,"Sam Wilson ""Falcon""",   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/804.png?=undefined
ESFP,Chewbacca,   Star Wars,https://www.personality-database.com/profile_images/2582.png?=undefined
ESFP,Jar Jar Binks,   Star Wars,https://www.personality-database.com/profile_images/60.png?=undefined
ESFP,Gilderoy Lockhart,   Harry Potter (franchise),https://www.personality-database.com/profile_images/3546.png?=undefined
ESFP,Miguel Rivera,   Coco (2017),https://www.personality-database.com/profile_images/10477.png?=undefined
ESFP,"Peregrin ""Pippin"" Took",   The Lord of the Rings,https://www.personality-database.com/profile_images/577.png?=undefined
ESFP,Pumbaa,   The Lion King (1994),https://www.personality-database.com/profile_images/870.png?=undefined
ESFP,Dudley Dursley,   Harry Potter (franchise),https://www.personality-database.com/profile_images/13735.png?=undefined
ESFP,Nemo,   Finding Nemo (Franchise),https://www.personality-database.com/profile_images/3073.png?=undefined
ESFP,Jessie,   Toy Story (Franchise),https://www.personality-database.com/profile_images/2218.png?=undefined
ESFP,Prince Naveen,   The Princess and the Frog (2009),https://www.personality-database.com/profile_images/6343.png?=undefined
ESFP,Tigger,   Winnie the Pooh (2011),https://www.personality-database.com/profile_images/8743.png?=undefined
ESFP,Jenny,   Forrest Gump (1994),https://www.personality-database.com/profile_images/7022.png?=undefined
ESFP,Charlotte LaBouff,   The Princess and the Frog (2009),https://www.personality-database.com/profile_images/14698.png?=undefined
ESFP,Rick Dalton,   Once Upon a Time in Hollywood (2019),https://www.personality-database.com/profile_images/37836.png?=undefined
ESFP,Hulk,   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/20233.png?=undefined
ESFP,Lavender Brown,   Harry Potter (franchise),https://www.personality-database.com/profile_images/13736.png?=undefined
ESFP,Caesar Flickerman,   The Hunger Games,https://www.personality-database.com/profile_images/1155.png?=undefined
ESFP,Augustus Gloop,   Charlie and the Chocolate Factory (2005),https://www.personality-database.com/profile_images/45443.png?=undefined
ESFP,Mater,   Cars (Franchise),https://www.personality-database.com/profile_images/13654.png?=undefined
ESFP,Dug,   Up (2009),https://www.personality-database.com/profile_images/5731.png?=undefined
ESFP,Frederico Corleone,   The Godfather,https://www.personality-database.com/profile_images/4036.png?=undefined
ESFP,Peter Kavinsky,   To All the Boys I've Loved Before (2018),https://www.personality-database.com/profile_images/15175.png?=undefined
ESFP,Clawhauser,   Zootopia (2016),https://www.personality-database.com/profile_images/2563.png?=undefined
ESFP,Jonathan,   Hotel Transylvania (2012),https://www.personality-database.com/profile_images/12271.png?=undefined
ESFP,Ed,   The Lion King (1994),https://www.personality-database.com/profile_images/37223.png?=undefined
ESFP,David Mills,   Se7en (1995),https://www.personality-database.com/profile_images/10897.png?=undefined
ESFP,Heather Duke,   Heathers (1988),https://www.personality-database.com/profile_images/2778.png?=undefined
ESFP,Agent J / James Darrell Edwards III,   Men in Black,https://www.personality-database.com/profile_images/2854.png?=undefined
ESFP,Gobber,   How to Train Your Dragon (Franchise),https://www.personality-database.com/profile_images/898.png?=undefined
ESFP,Crush,   Finding Nemo (Franchise),https://www.personality-database.com/profile_images/20406.png?=undefined
ESFP,Lumiere,   Beauty and the Beast (1991),https://www.personality-database.com/profile_images/8773.png?=undefined
ESFP,Scrat,   Ice Age (Franchise),https://www.personality-database.com/profile_images/70976.png?=undefined
ESFP,Monkey,   Kung Fu Panda (franchise),https://www.personality-database.com/profile_images/6506.png?=undefined
ESFP,Ryan Evans,   High School Musical (Film Trilogy),https://www.personality-database.com/profile_images/27288.png?=undefined
ESFP,"Eddie Brock ""Venom""",   The Spider-Man Trilogy,https://www.personality-database.com/profile_images/1089.png?=undefined
ESFP,"Billy Batson ""Shazam""",   DC Extended Universe,https://www.personality-database.com/profile_images/26554.png?=undefined
ESFP,Kiara,   The Lion King (1994),https://www.personality-database.com/profile_images/14026.png?=undefined
ESFP,Mowgli,   The Jungle Book (1967),https://www.personality-database.com/profile_images/2295.png?=undefined
ESFP,Baloo,   The Jungle Book (1967),https://www.personality-database.com/profile_images/2296.png?=undefined
ESFP,Elle Evans,   The Kissing Booth,https://www.personality-database.com/profile_images/31307.png?=undefined
ESFP,Hal Stewart,   Megamind (2010),https://www.personality-database.com/profile_images/41979.png?=undefined
ESFP,Pussycat,   Once Upon a Time in Hollywood (2019),https://www.personality-database.com/profile_images/53168.png?=undefined
ESFP,Angela Hayes,   American Beauty (1999),https://www.personality-database.com/profile_images/10533.png?=undefined
ESFP,Other Father,   Coraline (2009),https://www.personality-database.com/profile_images/7253.png?=undefined
ESFP,Tuffnut,   How to Train Your Dragon (Franchise),https://www.personality-database.com/profile_images/896.png?=undefined
ESFP,Tuffnut,   How to Train Your Dragon (Franchise),https://www.personality-database.com/profile_images/896.png?=undefined
ESFP,Freddie Mercury,   Bohemian Rhapsody (2018),https://www.personality-database.com/profile_images/19259.png?=undefined
ESFP,Erika,   Barbie as the Princess and the Pauper (2004),https://www.personality-database.com/profile_images/55899.png?=undefined
ESFP,Daniel LaRusso,   Karate Kid (1984),https://www.personality-database.com/profile_images/11831.png?=undefined
ESFP,"Mary ""Boo"" Gibbs","   Monsters, Inc. (2001)",https://www.personality-database.com/profile_images/10518.png?=undefined
ESFP,Kili,   The Hobbit,https://www.personality-database.com/profile_images/17937.png?=undefined
ESFP,Luis,   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/12943.png?=undefined
ESFP,Lance Corporal Tom Blake,   1917 (2019),https://www.personality-database.com/profile_images/82931.png?=undefined
ESFP,Daisy Buchanan,   The Great Gatsby (2013),https://www.personality-database.com/profile_images/36858.png?=undefined
ESFP,Miss Miriam Forcible,   Coraline (2009),https://www.personality-database.com/profile_images/7247.png?=undefined
ESFP,Miss Miriam Forcible,   Coraline (2009),https://www.personality-database.com/profile_images/7247.png?=undefined
ESFP,Dr. Frank-N-Furter,   The Rocky Horror Picture Show (1975),https://www.personality-database.com/profile_images/9267.png?=undefined
ESFP,Gary 'Eggsy' Unwin / Galahad,   Kingsman,https://www.personality-database.com/profile_images/32842.png?=undefined
ESFP,Debora,   Baby Driver (2017),https://www.personality-database.com/profile_images/9534.png?=undefined
ESFP,Prince Charming,   Cinderella (1950),https://www.personality-database.com/profile_images/30652.png?=undefined
ESFP,Fawn,   Tinker Bell (2008),https://www.personality-database.com/profile_images/35155.png?=undefined
ESFP,LeFou,   Beauty and the Beast (1991),https://www.personality-database.com/profile_images/24338.png?=undefined
ESFP,"Donny ""The Bear Jew"" Donowitz",   Inglourious Basterds (2009),https://www.personality-database.com/profile_images/11060.png?=undefined
ESFP,Mayor,   The Nightmare Before Christmas (1993),https://www.personality-database.com/profile_images/766.png?=undefined
ESFP,Tamatoa,   Moana (2016),https://www.personality-database.com/profile_images/28862.png?=undefined
ESFP,Heloise,   Portrait of a Lady on Fire (2019),https://www.personality-database.com/profile_images/78930.png?=undefined
ESFP,Dionne Davenport,   Clueless (1995),https://www.personality-database.com/profile_images/18379.png?=undefined
ESFP,Scuttle,   The Little Mermaid (1989),https://www.personality-database.com/profile_images/5869.png?=undefined
ESFP,Colin Creevey,   Harry Potter (franchise),https://www.personality-database.com/profile_images/54492.png?=undefined
ESFP,Stu Hopps,   Zootopia (2016),https://www.personality-database.com/profile_images/2565.png?=undefined
ESFP,"Dolores Haze ""Lolita""",   Lolita (1997),https://www.personality-database.com/profile_images/49480.png?=undefined
ESFP,Dru,   Despicable Me,https://www.personality-database.com/profile_images/13352.png?=undefined
ESFP,Duke Caboom,   Toy Story (Franchise),https://www.personality-database.com/profile_images/40233.png?=undefined
ESFP,Darla,   Finding Nemo (Franchise),https://www.personality-database.com/profile_images/59675.png?=undefined
ESFP,Tommy Williams,   The Shawshank Redemption (1994),https://www.personality-database.com/profile_images/8709.png?=undefined
ESFP,Tommy Williams,   The Shawshank Redemption (1994),https://www.personality-database.com/profile_images/8709.png?=undefined
ESFP,Lydia Bennet,   Pride and Prejudice (2005),https://www.personality-database.com/profile_images/7581.png?=undefined
ESFP,Gigi,   Booksmart (2019),https://www.personality-database.com/profile_images/38765.png?=undefined
ESFP,Dim,   A Clockwork Orange (1971),https://www.personality-database.com/profile_images/11571.png?=undefined
ESFP,Cruella de Vil,   101 Dalmatians (1996),https://www.personality-database.com/profile_images/29323.png?=undefined
ESFP,Goofy,   A Goofy Movie (1995),https://www.personality-database.com/profile_images/8857.png?=undefined
ESFP,Roman Pearce,   The Fast and the Furious,https://www.personality-database.com/profile_images/4781.png?=undefined
ESFP,The Cowardly Lion,   The Wizard of Oz (1939),https://www.personality-database.com/profile_images/21147.png?=undefined
ESFP,Yolanda (Honey Bunny),   Pulp Fiction (1994),https://www.personality-database.com/profile_images/41533.png?=undefined
ESFP,Salacious B. Crumb,   Star Wars,https://www.personality-database.com/profile_images/9709.png?=undefined
ESFP,Leslie Chow,   The Hangover Trilogy,https://www.personality-database.com/profile_images/27554.png?=undefined
ESFP,Salacious B. Crumb,   Star Wars,https://www.personality-database.com/profile_images/9709.png?=undefined
ESFP,Yolanda (Honey Bunny),   Pulp Fiction (1994),https://www.personality-database.com/profile_images/41533.png?=undefined
ESFP,Eep,   The Croods (2013),https://www.personality-database.com/profile_images/22698.png?=undefined
ESFP,Recep ?vedik,   Recep ?vedik,https://www.personality-database.com/profile_images/109404.png?=undefined
ESFP,Jay,   Descendants,https://www.personality-database.com/profile_images/43205.png?=undefined
ESFP,Nigel,   Finding Nemo (Franchise),https://www.personality-database.com/profile_images/3077.png?=undefined
ESFP,Squirt,   Finding Nemo (Franchise),https://www.personality-database.com/profile_images/24849.png?=undefined
ESFP,F?licie,   Leap! / Ballerina (2016),https://www.personality-database.com/images/profile_transparent.png
ESFP,Tree Gelbman,   Happy Death Day,https://www.personality-database.com/profile_images/111047.png?=undefined
ESFP,Squirt,   Finding Nemo (Franchise),https://www.personality-database.com/profile_images/24849.png?=undefined
ESFP,Joyce,   Edward Scissorhands (1990),https://www.personality-database.com/profile_images/24332.png?=undefined
ESFP,Tonya Harding,"   I, Tonya (2017)",https://www.personality-database.com/profile_images/86720.png?=undefined
ESFP,Danny,   Grease (1978),https://www.personality-database.com/profile_images/27175.png?=undefined
ESFP,Nux,   Mad Max,https://www.personality-database.com/profile_images/29380.png?=undefined
ESFP,Emile,   Ratatouille (2007),https://www.personality-database.com/profile_images/118320.png?=undefined
ESFP,Envy Adams,   Scott Pilgrim vs. the World (2010),https://www.personality-database.com/profile_images/25335.png?=undefined
ESFP,Uncle Rico,   Napoleon Dynamite (2004),https://www.personality-database.com/profile_images/19348.png?=undefined
ESFP,Chel,   The Road to El Dorado (2000),https://www.personality-database.com/profile_images/9544.png?=undefined
ESFP,Simba,   The Lion King (2019),https://www.personality-database.com/images/profile_transparent.png
ESFP,Megan Stewart,   Megan Is Missing (2011),https://www.personality-database.com/profile_images/219679.png?=undefined
ESFP,Chel,   The Road to El Dorado (2000),https://www.personality-database.com/profile_images/9544.png?=undefined
ESFP,Iris,   Taxi Driver (1976),https://www.personality-database.com/profile_images/24178.png?=undefined
ESFP,Simba,   The Lion King (2019),https://www.personality-database.com/images/profile_transparent.png
ESFP,Gabe Wilson,   Us (2019),https://www.personality-database.com/profile_images/31579.png?=undefined
ESFP,Winifred Banks,   Mary Poppins (1964),https://www.personality-database.com/profile_images/36741.png?=undefined
ESFP,Carl Showalter,   Fargo (1996),https://www.personality-database.com/profile_images/77241.png?=undefined
ESFP,Little John,   Robin Hood (1973),https://www.personality-database.com/profile_images/21550.png?=undefined
ESFP,Lilly Moscovitz,   The Princess Diaries,https://www.personality-database.com/profile_images/59911.png?=undefined
ESFP,Oompa Loompas,   Charlie and the Chocolate Factory (2005),https://www.personality-database.com/profile_images/77041.png?=undefined
ESFP,Gabe Wilson,   Us (2019),https://www.personality-database.com/profile_images/31579.png?=undefined
ESFP,Meredith Quill,   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/17424.png?=undefined
ESFP,Other Spink,   Coraline (2009),https://www.personality-database.com/profile_images/7249.png?=undefined
ESFP,King of Hearts,   Alice in Wonderland (1951),https://www.personality-database.com/profile_images/37085.png?=undefined
ESFP,Chuck,   The Angry Birds Movie (2016),https://www.personality-database.com/profile_images/16563.png?=undefined
ESFP,Donnie Azoff,   The Wolf of Wall Street (2013),https://www.personality-database.com/images/profile_transparent.png
ESFP,Ruby Rhod,   The Fifth Element (1997),https://www.personality-database.com/profile_images/27780.png?=undefined
ESFP,Tyrone C. Love,   Requiem for a Dream (2000),https://www.personality-database.com/profile_images/27070.png?=undefined
ESFP,Other Forcible,   Coraline (2009),https://www.personality-database.com/profile_images/7250.png?=undefined
ESFP,Sarah Sanderson,   Hocus Pocus (1993),https://www.personality-database.com/profile_images/24330.png?=undefined
ESFP,Paris,   Troy (2004),https://www.personality-database.com/profile_images/42855.png?=undefined
ESFP,Manny Ribera,   Scarface (1983),https://www.personality-database.com/profile_images/22842.png?=undefined
ESFP,Sarah Sanderson,   Hocus Pocus (1993),https://www.personality-database.com/profile_images/24330.png?=undefined
ESFP,Admiral-General Haffaz Aladeen,   The Dictator (2012),https://www.personality-database.com/profile_images/59218.png?=undefined
