index,mbti,movie
0,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,   Marvel Cinematic Universe
1,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,   Star Wars
2,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,   Harry Potter (franchise)
3,ESFP ESFJ ENFJ ENTP ENTJ ISFP ISTJ INTJ ,   The Lion King (1994)
4,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISTP ISTJ INFP INTJ ,   Shrek (Franchise)
5,ESFP ESTP ESTJ ENFP ENFJ ENTJ ISFP ISFJ ISTJ INFP INTJ ,   The Incredibles (Franchise)
6,ESFP ESTP ESTJ ENFP ENTP ISFP ISFJ ISTJ INFJ ,   Titanic (1997)
7,ESFP ESFJ ESTP ESTJ ENFP ENTP INTJ ,   Aladdin (1992)
8,ESFP ESFJ ESTP ENTP ISFP ISFJ ISTJ INFJ INTP ,   Back to the Future (franchise)
9,ESFP ESFJ ESTJ ENTP ISFP ISFJ ,   Fight Club (1999)
10,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,   Pirates of the Caribbean
11,ESFP ESFJ ESTP ESTJ ENTP ISTP ISTJ ,   Coco (2017)
12,ESFP ESTP ESTJ ENFP ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,   The Lord of the Rings
13,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTJ ISFP ISFJ ISTP ISTJ INFP INTP INTJ ,   Finding Nemo (Franchise)
14,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP ,   Toy Story (Franchise)
15,ESFP ESFJ ESTJ ENFP ENFJ ENTP ISTJ ,   The Princess and the Frog (2009)
16,ESFP ENFP ISFP ISFJ ISTJ INFP INTP ,   Winnie the Pooh (2011)
17,ESFP ESTJ ENFP ENFJ ISFJ INTP ,   Forrest Gump (1994)
18,ESFP ESFJ ESTP ESTJ ENFP ENTJ ISFJ ISTP ,   Once Upon a Time in Hollywood (2019)
19,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,   The Hunger Games
20,ESFP ESFJ ESTJ ENFP ENTJ ISFP ISFJ ISTP ISTJ INFP ,   Charlie and the Chocolate Factory (2005)
21,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTJ ,   Cars (Franchise)
22,ESFP ESFJ ESTP ENFP ENTJ ISTJ INTJ ,   Up (2009)
23,ESFP ESFJ ESTP ESTJ ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTJ ,   The Godfather
24,ESFP ESFJ ESTP ENTP ISTJ INFP INFJ ,   To All the Boys I've Loved Before (2018)
25,ESFP ESFJ ESTJ ENFJ ENTP ENTJ ISFP ISFJ ISTP INTJ ,   Zootopia (2016)
26,ESFP ESFJ ESTJ ENFP ENTP ISFP ISFJ ISTJ ,   Hotel Transylvania (2012)
27,ESFP ISFJ INFJ INTP ,   Se7en (1995)
28,ESFP ESFJ ESTP ESTJ ENFP ENTP ISFJ INFP INFJ ,   Heathers (1988)
29,ESFP ESTP ESTJ ENFP ENTP ENTJ ISFP ISFJ ISTP ISTJ INTP INTJ ,   Men in Black
30,ESFP ESTP ESTJ ENFP ENTP ENTJ ISFP ISTP ISTJ INFJ INTP INTJ ,   How to Train Your Dragon (Franchise)
31,ESFP ESFJ ESTP ENFP ISFP ISFJ ISTJ INFP INFJ INTP INTJ ,   Beauty and the Beast (1991)
32,ESFP ESFJ ESTP ENFP ENTP ENTJ ISFP ISFJ ISTP ISTJ ,   Ice Age (Franchise)
33,ESFP ESFJ ESTP ENFP ENTP ENTJ ISFJ ISTP ISTJ INFJ ,   Kung Fu Panda (franchise)
34,ESFP ESFJ ESTP ESTJ ENFP ENTJ ISFP ISFJ INFP ,   High School Musical (Film Trilogy)
35,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTJ ISFP ISFJ ISTP ISTJ INFP INTJ ,   The Spider-Man Trilogy
36,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,   DC Extended Universe
37,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTJ ISFP ISTP ISTJ INFP INFJ ,   The Jungle Book (1967)
38,ESFP ESFJ ESTP ENFJ ISFJ ,   The Kissing Booth
39,ESFP ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFJ ISTJ INFJ ,   Megamind (2010)
40,ESFP ESTJ ENTJ ISFP ISTJ INFP INTP ,   American Beauty (1999)
41,ESFP ESTP ENFJ ENTP ISFJ ISTJ INFP INTP ,   Coraline (2009)
42,ESFP ISFJ ISTP INFJ INTP INTJ ,   Bohemian Rhapsody (2018)
43,ESFP ESTJ ENTP ISFJ INTP ,   Barbie as the Princess and the Pauper (2004)
44,ESFP ESFJ ESTP ESTJ ENFJ ENTP ISTP ISTJ INFP INFJ ,   Karate Kid (1984)
45,ESFP ESFJ ESTJ ENTP ISFP ISFJ INTJ ,"   Monsters, Inc. (2001)"
46,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP ,   The Hobbit
47,ESFP ENFJ ENTP ISFJ ISTJ INFJ ,   1917 (2019)
48,ESFP ESTJ ENFJ ISFJ ISTP ,   The Great Gatsby (2013)
49,ESFP ESTJ ISFP ISFJ ISTJ ,   The Rocky Horror Picture Show (1975)
50,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTJ ISTJ INTP INTJ ,   Kingsman
51,ESFP ESTP ESTJ ISFP ISTJ ,   Baby Driver (2017)
52,ESFP ESFJ ESTJ ENFJ ENTP ISFJ INTJ ,   Cinderella (1950)
53,ESFP ESFJ ESTP ESTJ ENFP ENFJ ENTP ISFP ISFJ ISTJ INFP INFJ INTP ,   Tinker Bell (2008)
54,ESFP ESFJ ESTP ESTJ ENFJ ENTP ENTJ ISFP ISFJ ISTP ISTJ INTJ ,   Inglourious Basterds (2009)
55,ESFP ESTP ESTJ ENFJ ENTP ISFJ ISTP INFJ INTJ ,   The Nightmare Before Christmas (1993)
56,ESFP ESTP ESTJ ENFJ ENTP ISFP ISTP INFP INFJ ,   Moana (2016)
57,ESFP ESFJ ISFJ ISTJ ,   Portrait of a Lady on Fire (2019)
58,ESFP ESFJ ESTP ESTJ ISFP INTP ,   Clueless (1995)
59,ESFP ESTP ESTJ ENFP ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INTJ ,   The Little Mermaid (1989)
60,ESFP ESFJ ENTP INFJ ,   Lolita (1997)
61,ESFP ESTP ESTJ ENFP ENTP ENTJ ISFP ISFJ ISTP ISTJ INFP INFJ INTP INTJ ,   Despicable Me
62,ESFP ESFJ ESTP ESTJ ISFP ISFJ ISTP ISTJ INTJ ,   The Shawshank Redemption (1994)
63,ESFP ESFJ ESTP ESTJ ENFP ISFJ ISTJ INFP INFJ INTP INTJ ,   Pride and Prejudice (2005)
64,ESFP ESFJ ESTP ENFP ENFJ ENTJ ISTP INFJ INTP ,   Booksmart (2019)
65,ESFP ESFJ ESTJ ENTP ISFP ISFJ ISTJ INFJ INTJ ,   A Clockwork Orange (1971)
66,ESFP ESFJ ESTP ENFJ ISFP ISTP ,   101 Dalmatians (1996)
67,ESFP ESTP ENTJ ISFJ ISTP INFJ ,   A Goofy Movie (1995)
68,ESFP ESFJ ESTP ESTJ ENFP ENTP ENTJ ISFP ISFJ ISTP ISTJ INFJ INTP INTJ ,   The Fast and the Furious
69,ESFP ESFJ ESTJ ENFP ENFJ ENTP ISFJ INFP INTJ ,   The Wizard of Oz (1939)
70,ESFP ESTP ESTJ ENFJ ENTP ENTJ ISFP ISTP ISTJ INFP INTJ ,   Pulp Fiction (1994)
71,ESFP ESTP ESTJ ENFJ ENTJ ISFJ INFP ,   The Hangover Trilogy
72,ESFP ESFJ ESTP ENFP ENTP ENTJ ISFP ISTJ INFJ INTP ,   The Croods (2013)
73,ESFP ,   Recep İvedik
74,ESFP ESFJ ESTP ENFP ENFJ ENTP ENTJ ISFP ISFJ ISTJ INFP INTP ,   Descendants
75,ESFP ESTJ ENTP INFJ INTJ ,   Leap! / Ballerina (2016)
